x,y,z (elevasi),gFA
738089.0933,9689510.616,581,131.5
739935.3582,9689507.221,893,137.8
741792.7656,9689503.78,1127,147
743650.1936,9689500.312,1317,157.3
745496.5199,9689496.838,1471,168
747353.9894,9689493.317,1775,178.1
749211.48,9689489.769,1761,187.6
751057.869,9689486.217,1565,196.7
752915.4021,9689482.616,1301,206.1
754772.9568,9689478.989,1539,216.5
756619.4099,9689475.357,2065,228
758477.008,9689471.676,2277,240.1
760334.6281,9689467.969,1959,251.8
762181.1467,9689464.258,2253,260.9
764038.8113,9689460.498,2237,265.7
765896.4983,9689456.711,2365,264.3
767743.0839,9689452.921,2165,255.8
769600.8163,9689449.081,1993,240.8
771458.5716,9689445.215,1731,220.5
773305.2256,9689441.346,1617,198.4
775163.0272,9689437.426,1563,177.2
777020.8523,9689433.48,2017,161.1
778867.5761,9689429.532,1793,152.5
780725.4484,9689425.532,1453,153.5
782583.3446,9689421.507,1605,164.1
784430.1396,9689417.479,1751,182.5
786288.084,9689413.4,1681,206.4
788146.0528,9689409.295,1877,231.4
738085.7001,9687663.427,735,138.1
739931.9387,9687660.012,911,145.6
741789.3196,9687656.55,943,156.2
743646.7211,9687653.061,1055,168.5
745493.0209,9687649.567,1271,181.5
747350.4639,9687646.025,1505,193.6
749207.928,9687642.456,1695,204.5
751054.2906,9687638.883,1957,213.8
752911.7972,9687635.261,1651,222.2
754769.3253,9687631.612,1409,229.9
756615.7521,9687627.958,1761,237.6
758473.3236,9687624.256,2187,244.9
760330.9172,9687620.527,2099,251.3
762177.4095,9687616.794,2143,255.4
764035.0475,9687613.012,2357,255.7
765892.7079,9687609.203,2351,250.9
767739.2672,9687605.39,2449,240.1
769596.973,9687601.527,2095,223.7
771454.7018,9687597.638,2019,203.1
773301.3294,9687593.746,1733,181.1
775159.1044,9687589.803,1427,160.6
777016.903,9687585.834,1737,145.6
778863.6003,9687581.861,1519,138.4
780721.4461,9687577.839,1427,141.2
782579.3158,9687573.789,1787,154
784426.0843,9687569.737,1775,174.9
786284.0022,9687565.634,1965,201.5
788141.9445,9687561.504,2109,228.9
738082.3074,9685827.298,827,141.6
739928.5196,9685823.863,857,149.5
741785.8739,9685820.381,1023,161.3
743643.2489,9685816.872,1213,175.6
745489.5224,9685813.357,1557,191
747346.9389,9685809.795,1719,205.5
749204.3764,9685806.205,1833,218.4
751050.7127,9685802.61,2237,228.7
752908.1927,9685798.967,1993,236.4
754765.6943,9685795.297,1545,241.9
756612.0947,9685791.622,1727,245.7
758469.6397,9685787.898,1927,248.1
760327.2068,9685784.147,2307,249.1
762173.6727,9685780.392,2431,248
764031.2841,9685776.588,2603,243.9
765888.918,9685772.756,2551,235.9
767735.4509,9685768.921,2267,223.3
769593.1302,9685765.036,1877,206.3
771450.8324,9685761.124,1681,186
773297.4336,9685757.209,1539,165
775155.1821,9685753.243,1361,145.7
777012.9541,9685749.25,1259,131.9
778859.6251,9685745.255,1167,126
780717.4443,9685741.208,1469,129.9
782575.2874,9685737.135,1859,144
784422.0296,9685733.06,1925,166.3
786279.9209,9685728.933,2015,194.4
788137.8366,9685724.779,2269,223.2
738078.8741,9683980.108,797,141.4
739925.0596,9683976.653,859,148.9
741782.3872,9683973.15,1059,161.4
743639.7353,9683969.621,1361,177.2
745485.9821,9683966.085,1695,194.9
747343.3718,9683962.502,1937,212
749200.7825,9683958.891,2067,227
751047.092,9683955.275,2459,238.4
752904.5452,9683951.611,1917,245.7
754762.02,9683947.919,1773,249.1
756608.3936,9683944.222,1759,249.3
758465.9118,9683940.477,2041,247
760323.452,9683936.704,2259,242.9
762169.8912,9683932.927,2645,237
764027.4758,9683929.1,2545,229.1
765885.0829,9683925.246,2303,218.8
